dataset,replicate,cutoff_mode,total_tracks,tail_eligible_tracks,stable_modes,consensus_modes,stable_fraction,median_persistence,median_tail_drift,stable_median_persistence,stable_median_tail_drift,stable_median_prominence,ambiguous_births,reconnects
real,0,hard,36,12,7,6,0.19444444444444445,1.0,0.16737346286147936,1.0,0.11534793139518484,6.2118198066890455,1,11
real,0,taper,26,13,9,6,0.34615384615384615,1.0,0.056350009555060865,1.0,0.048002269788252505,3.442723029165438,0,3
phase_scrambled,0,hard,30,17,16,11,0.5333333333333333,1.0,0.048540031486560054,1.0,0.047380513411181546,2.568321170409483,0,6
phase_scrambled,0,taper,22,15,11,11,0.5,1.0,0.08414001537523319,1.0,0.07156649282877936,2.5564109915558015,0,0
phase_scrambled,1,hard,25,19,15,9,0.6,1.0,0.13096891016699352,1.0,0.10002879659718467,2.511149714560975,2,2
phase_scrambled,1,taper,20,14,12,9,0.6,1.0,0.039201789989739666,1.0,0.03818476568924822,3.0158237289941834,0,0
shuffled_rates,0,hard,31,16,10,8,0.3225806451612903,1.0,0.19201755066908888,1.0,0.13643260688795106,4.97337710257608,0,6
shuffled_rates,0,taper,21,17,11,8,0.5238095238095238,1.0,0.06047132117133902,1.0,0.05190961631371138,1.4965448034328244,0,0
shuffled_rates,1,hard,35,13,8,6,0.22857142857142856,1.0,0.14476685633741326,1.0,0.11994191111616637,5.99566017679688,0,17
shuffled_rates,1,taper,23,15,11,6,0.4782608695652174,1.0,0.06439370663645327,1.0,0.05452981949573754,0.8580349951119346,0,0
