dataset,replicate,prime,amplitude,rate,phase
real,0,2,0.7071067811865475,0.6931471805599453,0.0
real,0,3,0.5773502691896258,1.0986122886681098,0.0
real,0,5,0.4472135954999579,1.6094379124341003,0.0
real,0,7,0.3779644730092272,1.9459101490553132,0.0
real,0,11,0.30151134457776363,2.3978952727983707,0.0
real,0,13,0.2773500981126146,2.5649493574615367,0.0
real,0,17,0.24253562503633297,2.833213344056216,0.0
real,0,19,0.22941573387056174,2.9444389791664403,0.0
real,0,23,0.20851441405707477,3.1354942159291497,0.0
real,0,29,0.18569533817705186,3.367295829986474,0.0
real,0,31,0.1796053020267749,3.4339872044851463,0.0
real,0,37,0.1643989873053573,3.6109179126442243,0.0
real,0,41,0.15617376188860607,3.713572066704308,0.0
real,0,43,0.15249857033260467,3.7612001156935624,0.0
real,0,47,0.14586499149789456,3.8501476017100584,0.0
real,0,53,0.13736056394868904,3.970291913552122,0.0
real,0,59,0.13018891098082389,4.07753744390572,0.0
real,0,61,0.12803687993289598,4.110873864173311,0.0
real,0,67,0.12216944435630522,4.204692619390966,0.0
real,0,71,0.11867816581938533,4.2626798770413155,0.0
real,0,73,0.11704114719613057,4.290459441148391,0.0
real,0,79,0.1125087900926024,4.3694478524670215,0.0
real,0,83,0.10976425998969035,4.418840607796598,0.0
real,0,89,0.105999788000636,4.48863636973214,0.0
real,0,97,0.10153461651336192,4.574710978503383,0.0
real,0,101,0.09950371902099892,4.61512051684126,0.0
real,0,103,0.09853292781642932,4.634728988229636,0.0
real,0,107,0.09667364890456635,4.672828834461906,0.0
real,0,109,0.09578262852211514,4.6913478822291435,0.0
real,0,113,0.09407208683835973,4.727387818712341,0.0
real,0,127,0.08873565094161139,4.844187086458591,0.0
real,0,131,0.0873704056661038,4.875197323201151,0.0
real,0,137,0.0854357657716761,4.919980925828125,0.0
real,0,139,0.08481889296799709,4.9344739331306915,0.0
real,0,149,0.08192319205190406,5.003946305945459,0.0
real,0,151,0.08137884587711594,5.017279836814924,0.0
real,0,157,0.07980868844676221,5.056245805348308,0.0
real,0,163,0.07832604499879574,5.093750200806762,0.0
real,0,167,0.07738232325341368,5.117993812416755,0.0
real,0,173,0.07602859212697055,5.153291594497779,0.0
real,0,179,0.07474350927519359,5.187385805840755,0.0
real,0,181,0.07432941462471664,5.198497031265826,0.0
real,0,191,0.07235746052924216,5.25227342804663,0.0
real,0,193,0.07198157507486945,5.262690188904886,0.0
real,0,197,0.07124704998790965,5.2832037287379885,0.0
real,0,199,0.07088812050083358,5.293304824724492,0.0
real,0,211,0.06884283908215143,5.351858133476067,0.0
phase_scrambled,0,2,0.7071067811865475,0.6931471805599453,-2.5502975379371415
phase_scrambled,0,3,0.5773502691896258,1.0986122886681098,2.562962671625611
phase_scrambled,0,5,0.4472135954999579,1.6094379124341003,2.9306992381307344
phase_scrambled,0,7,0.3779644730092272,1.9459101490553132,1.773736912202538
phase_scrambled,0,11,0.30151134457776363,2.3978952727983707,-1.592115753001194
phase_scrambled,0,13,0.2773500981126146,2.5649493574615367,-1.1235832689761494
phase_scrambled,0,17,0.24253562503633297,2.833213344056216,2.6178671642404074
phase_scrambled,0,19,0.22941573387056174,2.9444389791664403,-0.9187879732389019
phase_scrambled,0,23,0.20851441405707477,3.1354942159291497,3.035871022095523
phase_scrambled,0,29,0.18569533817705186,3.367295829986474,2.6311386623662694
phase_scrambled,0,31,0.1796053020267749,3.4339872044851463,0.6782682417324564
phase_scrambled,0,37,0.1643989873053573,3.6109179126442243,1.3023143057242708
phase_scrambled,0,41,0.15617376188860607,3.713572066704308,-0.010582084448127915
phase_scrambled,0,43,0.15249857033260467,3.7612001156935624,-2.549116388759593
phase_scrambled,0,47,0.14586499149789456,3.8501476017100584,-1.2671326090696318
phase_scrambled,0,53,0.13736056394868904,3.970291913552122,1.1483206689948053
phase_scrambled,0,59,0.13018891098082389,4.07753744390572,-2.1541319684907005
phase_scrambled,0,61,0.12803687993289598,4.110873864173311,1.3070543210097716
phase_scrambled,0,67,0.12216944435630522,4.204692619390966,1.670157980395575
phase_scrambled,0,71,0.11867816581938533,4.2626798770413155,0.53813353322911
phase_scrambled,0,73,0.11704114719613057,4.290459441148391,-0.48698674289278854
phase_scrambled,0,79,0.1125087900926024,4.3694478524670215,0.6016394332655395
phase_scrambled,0,83,0.10976425998969035,4.418840607796598,0.6613180455814827
phase_scrambled,0,89,0.105999788000636,4.48863636973214,-2.7059672585445993
phase_scrambled,0,97,0.10153461651336192,4.574710978503383,-2.5847291299242228
phase_scrambled,0,101,0.09950371902099892,4.61512051684126,2.333528893089592
phase_scrambled,0,103,0.09853292781642932,4.634728988229636,0.719971911055846
phase_scrambled,0,107,0.09667364890456635,4.672828834461906,-3.018838232455419
phase_scrambled,0,109,0.09578262852211514,4.6913478822291435,-0.5990357659291319
phase_scrambled,0,113,0.09407208683835973,4.727387818712341,2.486490144477971
phase_scrambled,0,127,0.08873565094161139,4.844187086458591,3.0211244367219896
phase_scrambled,0,131,0.0873704056661038,4.875197323201151,2.4202221052219626
phase_scrambled,0,137,0.0854357657716761,4.919980925828125,-1.9324209114641815
phase_scrambled,0,139,0.08481889296799709,4.9344739331306915,2.4164472064328226
phase_scrambled,0,149,0.08192319205190406,5.003946305945459,-1.113581871925513
phase_scrambled,0,151,0.08137884587711594,5.017279836814924,-2.69843556854235
phase_scrambled,0,157,0.07980868844676221,5.056245805348308,-1.1778562134961732
phase_scrambled,0,163,0.07832604499879574,5.093750200806762,0.6414540080224365
phase_scrambled,0,167,0.07738232325341368,5.117993812416755,2.843571696271278
phase_scrambled,0,173,0.07602859212697055,5.153291594497779,-0.7662314555434286
phase_scrambled,0,179,0.07474350927519359,5.187385805840755,2.7695094285375417
phase_scrambled,0,181,0.07432941462471664,5.198497031265826,2.1213231890613216
phase_scrambled,0,191,0.07235746052924216,5.25227342804663,-1.5993558159630687
phase_scrambled,0,193,0.07198157507486945,5.262690188904886,-0.7940888032358555
phase_scrambled,0,197,0.07124704998790965,5.2832037287379885,1.756464212975943
phase_scrambled,0,199,0.07088812050083358,5.293304824724492,-0.8194175268173276
phase_scrambled,0,211,0.06884283908215143,5.351858133476067,0.4499604737642633
phase_scrambled,1,2,0.7071067811865475,0.6931471805599453,2.0638335222011177
phase_scrambled,1,3,0.5773502691896258,1.0986122886681098,-0.08917704648946945
phase_scrambled,1,5,0.4472135954999579,1.6094379124341003,-1.3204123018822458
phase_scrambled,1,7,0.3779644730092272,1.9459101490553132,-2.602651071762587
phase_scrambled,1,11,0.30151134457776363,2.3978952727983707,2.465594873130791
phase_scrambled,1,13,0.2773500981126146,2.5649493574615367,1.383902893821027
phase_scrambled,1,17,0.24253562503633297,2.833213344056216,-3.0247375175537554
phase_scrambled,1,19,0.22941573387056174,2.9444389791664403,-0.7162849636240782
phase_scrambled,1,23,0.20851441405707477,3.1354942159291497,0.7009555574740527
phase_scrambled,1,29,0.18569533817705186,3.367295829986474,-3.0097384131053397
phase_scrambled,1,31,0.1796053020267749,3.4339872044851463,-0.04624850014213422
phase_scrambled,1,37,0.1643989873053573,3.6109179126442243,-2.3471595126644855
phase_scrambled,1,41,0.15617376188860607,3.713572066704308,-1.6920898516548153
phase_scrambled,1,43,0.15249857033260467,3.7612001156935624,2.227576084933938
phase_scrambled,1,47,0.14586499149789456,3.8501476017100584,-0.22452909426189294
phase_scrambled,1,53,0.13736056394868904,3.970291913552122,-1.717321918489015
phase_scrambled,1,59,0.13018891098082389,4.07753744390572,-1.6098894392344922
phase_scrambled,1,61,0.12803687993289598,4.110873864173311,-0.4057975358742163
phase_scrambled,1,67,0.12216944435630522,4.204692619390966,-3.0241570496426373
phase_scrambled,1,71,0.11867816581938533,4.2626798770413155,-2.115478293746711
phase_scrambled,1,73,0.11704114719613057,4.290459441148391,-1.9300706760370405
phase_scrambled,1,79,0.1125087900926024,4.3694478524670215,1.1753133381386913
phase_scrambled,1,83,0.10976425998969035,4.418840607796598,-1.2018636949783617
phase_scrambled,1,89,0.105999788000636,4.48863636973214,2.4558577836423297
phase_scrambled,1,97,0.10153461651336192,4.574710978503383,0.0077990681486732605
phase_scrambled,1,101,0.09950371902099892,4.61512051684126,-2.4975602774578456
phase_scrambled,1,103,0.09853292781642932,4.634728988229636,3.0021196597442223
