cutoff_mode,dataset,replicate,prime_cutoff,feature_count,refinement_failures,density_per_tau,prime_count
hard,real,0,5,9,0,0.2571428571428571,3
hard,real,0,7,12,0,0.34285714285714286,4
hard,real,0,11,12,0,0.34285714285714286,5
hard,real,0,17,13,0,0.37142857142857144,7
hard,real,0,29,18,0,0.5142857142857142,10
hard,real,0,47,19,0,0.5428571428571428,15
hard,real,0,71,19,0,0.5428571428571428,20
hard,real,0,101,20,0,0.5714285714285714,26
hard,real,0,151,22,0,0.6285714285714286,36
hard,real,0,211,23,0,0.6571428571428571,47
taper,real,0,5,6,0,0.17142857142857143,3
taper,real,0,7,7,0,0.2,4
taper,real,0,11,9,0,0.2571428571428571,5
taper,real,0,17,11,0,0.3142857142857143,7
taper,real,0,29,13,0,0.37142857142857144,10
taper,real,0,47,16,0,0.45714285714285713,15
taper,real,0,71,19,0,0.5428571428571428,20
taper,real,0,101,18,0,0.5142857142857142,26
taper,real,0,151,17,0,0.4857142857142857,36
taper,real,0,211,18,0,0.5142857142857142,47
hard,phase_scrambled,0,5,7,0,0.2,3
hard,phase_scrambled,0,7,10,0,0.2857142857142857,4
hard,phase_scrambled,0,11,9,0,0.2571428571428571,5
hard,phase_scrambled,0,17,12,0,0.34285714285714286,7
hard,phase_scrambled,0,29,15,0,0.42857142857142855,10
hard,phase_scrambled,0,47,16,0,0.45714285714285713,15
hard,phase_scrambled,0,71,18,0,0.5142857142857142,20
hard,phase_scrambled,0,101,20,0,0.5714285714285714,26
hard,phase_scrambled,0,151,19,0,0.5428571428571428,36
hard,phase_scrambled,0,211,20,0,0.5714285714285714,47
taper,phase_scrambled,0,5,5,0,0.14285714285714285,3
taper,phase_scrambled,0,7,5,0,0.14285714285714285,4
taper,phase_scrambled,0,11,6,0,0.17142857142857143,5
taper,phase_scrambled,0,17,7,0,0.2,7
taper,phase_scrambled,0,29,12,0,0.34285714285714286,10
taper,phase_scrambled,0,47,13,0,0.37142857142857144,15
taper,phase_scrambled,0,71,15,0,0.42857142857142855,20
taper,phase_scrambled,0,101,15,0,0.42857142857142855,26
taper,phase_scrambled,0,151,17,0,0.4857142857142857,36
taper,phase_scrambled,0,211,19,0,0.5428571428571428,47
hard,phase_scrambled,1,5,8,0,0.22857142857142856,3
hard,phase_scrambled,1,7,10,0,0.2857142857142857,4
hard,phase_scrambled,1,11,10,0,0.2857142857142857,5
hard,phase_scrambled,1,17,12,0,0.34285714285714286,7
hard,phase_scrambled,1,29,12,0,0.34285714285714286,10
hard,phase_scrambled,1,47,15,0,0.42857142857142855,15
hard,phase_scrambled,1,71,19,0,0.5428571428571428,20
hard,phase_scrambled,1,101,19,0,0.5428571428571428,26
hard,phase_scrambled,1,151,20,0,0.5714285714285714,36
hard,phase_scrambled,1,211,20,0,0.5714285714285714,47
taper,phase_scrambled,1,5,6,0,0.17142857142857143,3
taper,phase_scrambled,1,7,6,0,0.17142857142857143,4
taper,phase_scrambled,1,11,8,0,0.22857142857142856,5
taper,phase_scrambled,1,17,9,0,0.2571428571428571,7
taper,phase_scrambled,1,29,10,0,0.2857142857142857,10
taper,phase_scrambled,1,47,10,0,0.2857142857142857,15
taper,phase_scrambled,1,71,12,0,0.34285714285714286,20
taper,phase_scrambled,1,101,14,0,0.4,26
taper,phase_scrambled,1,151,17,0,0.4857142857142857,36
taper,phase_scrambled,1,211,19,0,0.5428571428571428,47
hard,shuffled_rates,0,5,12,0,0.34285714285714286,3
hard,shuffled_rates,0,7,13,0,0.37142857142857144,4
hard,shuffled_rates,0,11,12,0,0.34285714285714286,5
hard,shuffled_rates,0,17,14,0,0.4,7
hard,shuffled_rates,0,29,16,0,0.45714285714285713,10
hard,shuffled_rates,0,47,20,0,0.5714285714285714,15
hard,shuffled_rates,0,71,20,0,0.5714285714285714,20
hard,shuffled_rates,0,101,18,0,0.5142857142857142,26
hard,shuffled_rates,0,151,20,0,0.5714285714285714,36
hard,shuffled_rates,0,211,23,0,0.6571428571428571,47
taper,shuffled_rates,0,5,10,0,0.2857142857142857,3
taper,shuffled_rates,0,7,12,0,0.34285714285714286,4
taper,shuffled_rates,0,11,12,0,0.34285714285714286,5
taper,shuffled_rates,0,17,12,0,0.34285714285714286,7
taper,shuffled_rates,0,29,13,0,0.37142857142857144,10
taper,shuffled_rates,0,47,15,0,0.42857142857142855,15
taper,shuffled_rates,0,71,16,0,0.45714285714285713,20
taper,shuffled_rates,0,101,18,0,0.5142857142857142,26
taper,shuffled_rates,0,151,19,0,0.5428571428571428,36
taper,shuffled_rates,0,211,18,0,0.5142857142857142,47
hard,shuffled_rates,1,5,10,0,0.2857142857142857,3
hard,shuffled_rates,1,7,12,0,0.34285714285714286,4
hard,shuffled_rates,1,11,12,0,0.34285714285714286,5
hard,shuffled_rates,1,17,13,0,0.37142857142857144,7
hard,shuffled_rates,1,29,16,0,0.45714285714285713,10
hard,shuffled_rates,1,47,18,0,0.5142857142857142,15
hard,shuffled_rates,1,71,19,0,0.5428571428571428,20
hard,shuffled_rates,1,101,20,0,0.5714285714285714,26
hard,shuffled_rates,1,151,23,0,0.6571428571428571,36
hard,shuffled_rates,1,211,23,0,0.6571428571428571,47
taper,shuffled_rates,1,5,6,0,0.17142857142857143,3
taper,shuffled_rates,1,7,6,0,0.17142857142857143,4
taper,shuffled_rates,1,11,9,0,0.2571428571428571,5
taper,shuffled_rates,1,17,12,0,0.34285714285714286,7
taper,shuffled_rates,1,29,13,0,0.37142857142857144,10
taper,shuffled_rates,1,47,14,0,0.4,15
taper,shuffled_rates,1,71,15,0,0.42857142857142855,20
taper,shuffled_rates,1,101,17,0,0.4857142857142857,26
taper,shuffled_rates,1,151,18,0,0.5142857142857142,36
taper,shuffled_rates,1,211,16,0,0.45714285714285713,47
