cutoff_mode,dataset,replicate,prime_cutoff,coarse_count,fine_count,max_position_change,passed
hard,real,0,5,9,9,4.89386309254769e-13,True
hard,real,0,211,23,23,2.454925152051146e-12,True
taper,real,0,5,6,6,3.552713678800501e-15,True
taper,real,0,211,18,18,2.2698509738461325e-12,True
hard,phase_scrambled,0,5,7,7,1.1119993814645568e-12,True
hard,phase_scrambled,0,211,20,20,2.490452288839151e-12,True
taper,phase_scrambled,0,5,5,5,3.552713678800501e-15,True
taper,phase_scrambled,0,211,19,19,2.3661073100811336e-12,True
hard,phase_scrambled,1,5,8,8,1.3784529073745944e-12,True
hard,phase_scrambled,1,211,20,20,2.142286348316702e-12,True
taper,phase_scrambled,1,5,6,6,3.552713678800501e-15,True
taper,phase_scrambled,1,211,19,19,2.4584778657299466e-12,True
hard,shuffled_rates,0,5,12,12,1.2292389328649733e-12,True
hard,shuffled_rates,0,211,23,23,1.9610979506978765e-12,True
taper,shuffled_rates,0,5,10,10,6.927791673660977e-14,True
taper,shuffled_rates,0,211,18,18,2.1511681325137033e-12,True
hard,shuffled_rates,1,5,10,10,1.2008172234345693e-12,True
hard,shuffled_rates,1,211,23,23,2.4087398742267396e-12,True
taper,shuffled_rates,1,5,6,6,7.72715225139109e-14,True
taper,shuffled_rates,1,211,16,16,2.2177815139912127e-12,True
