variant,dataset,replicate,predicted_index,hard_track_id,taper_track_id,hard_tau,taper_tau,consensus_tau,agreement_error,hard_persistence,taper_persistence,hard_tail_drift,taper_tail_drift,hard_prominence,taper_prominence
strict,real,0,1,19,21,12.517692160202401,12.522433589028603,12.520062874615501,0.00474142882620221,1.0,1.0,0.16511049325888472,0.09155460471235521,0.28240578757307977,0.33160083605313656
strict,real,0,2,5,3,14.177997793770414,14.12782771929924,14.152912756534828,0.05017007447117372,1.0,1.0,0.169636432464074,0.036809436319321875,6.8801988943263845,6.669808278244366
strict,real,0,3,6,4,20.989348029779126,21.040899117644823,21.015123573711975,0.05155108786569684,1.0,1.0,0.11534793139518484,0.032849069664887764,6.373975642020751,5.511976334827294
strict,real,0,4,7,5,24.993256370440047,25.000957377020445,24.997106873730246,0.007701006580397518,1.0,1.0,0.08212590295197231,0.00548834272598242,4.681945402420855,4.511168399755319
strict,real,0,5,8,11,30.434001411330396,30.48183202638613,30.457916718858264,0.047830615055733716,1.0,1.0,0.11073332223981325,0.05348148416781129,6.2118198066890455,5.510305917362134
strict,real,0,6,14,12,32.904684328465926,32.84455066669825,32.874617497582086,0.060133661767679314,1.0,1.0,0.05441954432158269,0.056350009555060865,3.5241401711001092,3.442723029165438
baseline,real,0,1,19,21,12.517692160202401,12.522433589028603,12.520062874615501,0.00474142882620221,1.0,1.0,0.16511049325888472,0.09155460471235521,0.28240578757307977,0.33160083605313656
baseline,real,0,2,5,3,14.177997793770414,14.12782771929924,14.152912756534828,0.05017007447117372,1.0,1.0,0.169636432464074,0.036809436319321875,6.8801988943263845,6.669808278244366
baseline,real,0,3,6,4,20.989348029779126,21.040899117644823,21.015123573711975,0.05155108786569684,1.0,1.0,0.11534793139518484,0.032849069664887764,6.373975642020751,5.511976334827294
baseline,real,0,4,7,5,24.993256370440047,25.000957377020445,24.997106873730246,0.007701006580397518,1.0,1.0,0.08212590295197231,0.00548834272598242,4.681945402420855,4.511168399755319
baseline,real,0,5,8,11,30.434001411330396,30.48183202638613,30.457916718858264,0.047830615055733716,1.0,1.0,0.11073332223981325,0.05348148416781129,6.2118198066890455,5.510305917362134
baseline,real,0,6,14,12,32.904684328465926,32.84455066669825,32.874617497582086,0.060133661767679314,1.0,1.0,0.05441954432158269,0.056350009555060865,3.5241401711001092,3.442723029165438
loose,real,0,1,1,9,0.8383782904874155,0.987274280231355,0.9128262853593853,0.14889598974393947,1.0,1.0,0.14650440230036899,0.19569746882947991,7.650040769037074,4.441607392986918
loose,real,0,2,19,21,12.517692160202401,12.522433589028603,12.520062874615501,0.00474142882620221,1.0,1.0,0.16511049325888472,0.09155460471235521,0.28240578757307977,0.33160083605313656
loose,real,0,3,5,3,14.177997793770414,14.12782771929924,14.152912756534828,0.05017007447117372,1.0,1.0,0.169636432464074,0.036809436319321875,6.8801988943263845,6.669808278244366
loose,real,0,4,6,4,20.989348029779126,21.040899117644823,21.015123573711975,0.05155108786569684,1.0,1.0,0.11534793139518484,0.032849069664887764,6.373975642020751,5.511976334827294
loose,real,0,5,7,5,24.993256370440047,25.000957377020445,24.997106873730246,0.007701006580397518,1.0,1.0,0.08212590295197231,0.00548834272598242,4.681945402420855,4.511168399755319
loose,real,0,6,8,11,30.434001411330396,30.48183202638613,30.457916718858264,0.047830615055733716,1.0,1.0,0.11073332223981325,0.05348148416781129,6.2118198066890455,5.510305917362134
loose,real,0,7,14,12,32.904684328465926,32.84455066669825,32.874617497582086,0.060133661767679314,1.0,1.0,0.05441954432158269,0.056350009555060865,3.5241401711001092,3.442723029165438
strict,phase_scrambled,0,1,15,14,9.533493583281428,9.553501353542142,9.543497468411786,0.020007770260713542,1.0,1.0,0.010156262324871435,0.050263432134203256,4.395129925323346,2.5564109915558015
strict,phase_scrambled,0,2,18,11,18.087568585117815,18.116141599209172,18.101855092163493,0.028573014091357152,1.0,1.0,0.08574398237606218,0.06361783474604721,2.5529606515650505,1.5080625055061398
strict,phase_scrambled,0,3,11,7,19.513373006522052,19.546342998982748,19.5298580027524,0.03296999246069632,1.0,1.0,0.04051938196061755,0.04378513460315503,2.3076548343722965,1.2806786046789131
strict,phase_scrambled,0,4,23,4,23.036175545094068,22.949018154569643,22.992596849831855,0.08715739052442473,1.0,1.0,0.07694102769485767,0.03000175973008723,2.4619053722537094,5.585574004168967
strict,phase_scrambled,0,5,6,17,24.463747403161005,24.392247013624107,24.427997208392554,0.0715003895368973,1.0,1.0,0.03839132123473732,0.09502183032912015,6.709776987114854,1.7888143459175008
strict,phase_scrambled,0,6,19,12,28.58553410978892,28.525261031272798,28.555397570530857,0.06027307851612207,1.0,1.0,0.04124990782747773,0.0802327542509289,5.377382562205646,4.567406228776706
strict,phase_scrambled,0,7,13,16,30.280343330558992,30.27686310571232,30.278603218135657,0.0034802248466725416,1.0,1.0,0.044194194344932214,0.07156649282877936,1.8596840482485861,1.1660934347232514
strict,phase_scrambled,0,8,26,18,31.741841334968637,31.68354800751988,31.712694671244257,0.05829332744875515,1.0,1.0,0.04393419785941077,0.09114452517054872,2.4907905152955916,1.5753308481881259
strict,phase_scrambled,0,9,14,13,33.52542060499405,33.59813815946445,33.56177938222925,0.07271755447039396,1.0,1.0,0.048540031486560054,0.08414001537523319,5.226105529204345,5.001584062300965
baseline,phase_scrambled,0,1,1,8,4.180901192981475,4.367564833774656,4.2742330133780655,0.18666364079318143,1.0,1.0,0.17077823944896764,0.033588875411651564,2.583681689253915,2.5968986949368698
baseline,phase_scrambled,0,2,15,14,9.533493583281428,9.553501353542142,9.543497468411786,0.020007770260713542,1.0,1.0,0.010156262324871435,0.050263432134203256,4.395129925323346,2.5564109915558015
