cutoff_mode,dataset,replicate,prime_cutoff,event,track_id,feature_id,distance,missing_steps
hard,real,0,5,birth,1,peak_1,,0
hard,real,0,5,birth,2,peak_2,,0
hard,real,0,5,birth,3,peak_3,,0
hard,real,0,5,birth,4,peak_4,,0
hard,real,0,5,birth,5,peak_5,,0
hard,real,0,5,birth,6,peak_6,,0
hard,real,0,5,birth,7,peak_7,,0
hard,real,0,5,birth,8,peak_8,,0
hard,real,0,5,birth,9,peak_9,,0
hard,real,0,7,match,1,peak_1,0.3947140705228884,0
hard,real,0,7,match,2,peak_2,0.043912990159120646,0
hard,real,0,7,birth,10,peak_3,,0
hard,real,0,7,match,4,peak_4,0.391299902953671,0
hard,real,0,7,match,5,peak_5,0.3006621589294962,0
hard,real,0,7,birth,11,peak_6,,0
hard,real,0,7,birth,12,peak_7,,0
hard,real,0,7,match,6,peak_8,0.07310517293790042,0
hard,real,0,7,match,7,peak_9,0.3471910177112498,0
hard,real,0,7,birth,13,peak_10,,0
hard,real,0,7,match,8,peak_11,0.1686967180542993,0
hard,real,0,7,birth,14,peak_12,,0
hard,real,0,7,missing,3,,,1
hard,real,0,7,missing,9,,,1
hard,real,0,11,match,1,peak_1,0.2968536798450374,0
hard,real,0,11,match,2,peak_2,0.2726577530737515,0
hard,real,0,11,match,10,peak_3,0.2017521798460491,0
hard,real,0,11,birth,15,peak_4,,0
hard,real,0,11,match,4,peak_5,0.3232714576342577,0
hard,real,0,11,match,5,peak_6,0.09686838454155122,0
hard,real,0,11,birth,16,peak_7,,0
hard,real,0,11,match,6,peak_8,0.3978313980760184,0
hard,real,0,11,match,7,peak_9,0.0557487596131061,0
hard,real,0,11,match,13,peak_10,0.1968390118122798,0
hard,real,0,11,match,8,peak_11,0.0885100012374771,0
hard,real,0,11,match,14,peak_12,0.10755517314247953,0
hard,real,0,11,missing,3,,,2
hard,real,0,11,missing,9,,,2
hard,real,0,11,missing,11,,,1
hard,real,0,11,missing,12,,,1
hard,real,0,17,death,3,,,2
hard,real,0,17,death,9,,,2
hard,real,0,17,match,1,peak_1,0.30651965631352684,0
hard,real,0,17,birth,17,peak_2,,0
hard,real,0,17,birth,18,peak_3,,0
hard,real,0,17,match,15,peak_4,0.17977712223752107,0
hard,real,0,17,match,4,peak_5,0.2773897966486256,0
hard,real,0,17,match,5,peak_6,0.11705844607679694,0
hard,real,0,17,match,16,peak_7,0.22652219526822037,0
hard,real,0,17,reconnect,12,peak_8,0.15179892528509242,1
hard,real,0,17,match,6,peak_9,0.3421369866716404,0
hard,real,0,17,match,7,peak_10,0.36010478845885885,0
hard,real,0,17,match,13,peak_11,0.0057865326009256535,0
hard,real,0,17,match,8,peak_12,0.020203387050308663,0
hard,real,0,17,match,14,peak_13,0.1517660350358554,0
hard,real,0,17,missing,2,,,1
hard,real,0,17,missing,10,,,1
hard,real,0,17,missing,11,,,2
hard,real,0,29,death,11,,,2
hard,real,0,29,match,1,peak_1,0.23805495515942576,0
hard,real,0,29,match,17,peak_2,0.45407664600778785,0
hard,real,0,29,reconnect,2,peak_3,0.40634984616679404,1
hard,real,0,29,reconnect,10,peak_4,0.021324682439124665,1
hard,real,0,29,match,15,peak_5,0.08028657793705385,0
hard,real,0,29,match,4,peak_6,0.17643486798575658,0
hard,real,0,29,birth,19,peak_7,,0
hard,real,0,29,match,5,peak_8,0.04765802524666363,0
hard,real,0,29,match,16,peak_9,0.12277160373223595,0
hard,real,0,29,birth,20,peak_10,,0
hard,real,0,29,match,12,peak_11,0.009280460985628736,0
hard,real,0,29,match,6,peak_12,0.0943622270080482,0
hard,real,0,29,birth,21,peak_13,,0
hard,real,0,29,match,7,peak_14,0.08865643283757052,0
hard,real,0,29,match,13,peak_15,0.3891667698361161,0
hard,real,0,29,match,8,peak_16,0.279401597462293,0
hard,real,0,29,match,14,peak_17,0.05803465785713513,0
hard,real,0,29,birth,22,peak_18,,0
hard,real,0,29,missing,18,,,1
hard,real,0,47,match,1,peak_1,0.2047212994036287,0
hard,real,0,47,match,17,peak_2,0.35647481446779894,0
hard,real,0,47,birth,23,peak_3,,0
hard,real,0,47,reconnect,18,peak_4,0.0061940066123593596,1
hard,real,0,47,match,10,peak_5,0.433356952387161,0
hard,real,0,47,birth,24,peak_6,,0
hard,real,0,47,match,4,peak_7,0.3952104891481909,0
hard,real,0,47,match,19,peak_8,0.04073330028305655,0
hard,real,0,47,match,5,peak_9,0.030865311133732476,0
hard,real,0,47,match,20,peak_10,0.03532492580441726,0
hard,real,0,47,match,12,peak_11,0.13800755682895627,0
hard,real,0,47,match,6,peak_12,0.029237157310355144,0
hard,real,0,47,match,21,peak_13,0.023296314739056356,0
hard,real,0,47,match,7,peak_14,0.04775963802959993,0
hard,real,0,47,birth,25,peak_15,,0
hard,real,0,47,match,13,peak_16,0.04244057581463423,0
hard,real,0,47,match,8,peak_17,0.04335273004321394,0
hard,real,0,47,match,14,peak_18,0.07565786539255726,0
hard,real,0,47,match,22,peak_19,0.05074931140546113,0
hard,real,0,47,missing,2,,,1
hard,real,0,47,missing,15,,,1
hard,real,0,47,missing,16,,,1
hard,real,0,71,match,1,peak_1,0.11202215657182957,0
hard,real,0,71,match,17,peak_2,0.25079493782467166,0
hard,real,0,71,match,23,peak_3,0.40048666159762014,0
hard,real,0,71,match,18,peak_4,0.45861371124345496,0
hard,real,0,71,match,10,peak_5,0.4098216307847773,0
hard,real,0,71,reconnect,15,peak_6,0.13011633151939428,1
hard,real,0,71,match,24,peak_7,0.4539419964666127,0
hard,real,0,71,birth,26,peak_8,,0
hard,real,0,71,match,19,peak_9,0.14723254107775396,0
hard,real,0,71,match,5,peak_10,0.0679938661634214,0
hard,real,0,71,match,20,peak_11,0.02627137384709144,0
hard,real,0,71,match,12,peak_12,0.04323673047987242,0
hard,real,0,71,match,6,peak_13,0.07583471116256746,0
hard,real,0,71,match,21,peak_14,0.0384856830567486,0
hard,real,0,71,match,7,peak_15,0.0325722475036514,0
hard,real,0,71,match,25,peak_16,0.04690753680724313,0
hard,real,0,71,match,8,peak_17,0.04285172901825263,0
hard,real,0,71,match,14,peak_18,0.053402083008151635,0
hard,real,0,71,match,22,peak_19,0.10192299634994839,0
hard,real,0,71,missing,2,,,2
hard,real,0,71,missing,4,,,1
hard,real,0,71,missing,13,,,1
hard,real,0,71,missing,16,,,2
hard,real,0,101,death,2,,,2
hard,real,0,101,death,16,,,2
hard,real,0,101,match,1,peak_1,0.08387647979341772,0
hard,real,0,101,match,17,peak_2,0.19981270802913764,0
hard,real,0,101,match,23,peak_3,0.2881679063691531,0
hard,real,0,101,match,18,peak_4,0.4468138717294554,0
hard,real,0,101,birth,27,peak_5,,0
hard,real,0,101,match,15,peak_6,0.48097700508227614,0
hard,real,0,101,match,24,peak_7,0.4285087949045838,0
hard,real,0,101,reconnect,4,peak_8,0.1488227971771927,1
hard,real,0,101,match,19,peak_9,0.0753851065572313,0
hard,real,0,101,match,5,peak_10,0.0019286414062502644,0
hard,real,0,101,match,20,peak_11,0.031040875648255195,0
hard,real,0,101,match,12,peak_12,0.04716252610353422,0
hard,real,0,101,match,6,peak_13,0.007327163646532853,0
hard,real,0,101,match,21,peak_14,0.23561018855389193,0
hard,real,0,101,match,7,peak_15,0.07038480238520961,0
hard,real,0,101,match,25,peak_16,0.07614329172799472,0
hard,real,0,101,reconnect,13,peak_17,0.09936704836323429,1
hard,real,0,101,match,8,peak_18,0.030263062929915208,0
hard,real,0,101,match,14,peak_19,0.060148285680355684,0
hard,real,0,101,match,22,peak_20,0.03731615839044622,0
hard,real,0,101,missing,10,,,1
hard,real,0,101,missing,26,,,1
hard,real,0,151,match,1,peak_1,0.0865239799636941,0
hard,real,0,151,match,17,peak_2,0.19527825091659157,0
hard,real,0,151,match,23,peak_3,0.29113210141494594,0
hard,real,0,151,match,18,peak_4,0.3776049355132667,0
hard,real,0,151,match,27,peak_5,0.44070160459409813,0
hard,real,0,151,reconnect,10,peak_6,0.13614913685702934,1
hard,real,0,151,birth,28,peak_7,,0
hard,real,0,151,match,24,peak_8,0.3421308921701147,0
hard,real,0,151,ambiguous_birth,29,peak_9,0.3404592273788847,0
hard,real,0,151,match,19,peak_10,0.05699020720261139,0
hard,real,0,151,match,5,peak_11,0.056903470502668085,0
hard,real,0,151,birth,30,peak_12,,0
hard,real,0,151,match,20,peak_13,0.4688695125930309,0
hard,real,0,151,birth,31,peak_14,,0
hard,real,0,151,birth,32,peak_15,,0
hard,real,0,151,match,6,peak_16,0.10623753621397114,0
hard,real,0,151,match,21,peak_17,0.4409167336939568,0
hard,real,0,151,match,7,peak_18,0.08212590295197231,0
hard,real,0,151,birth,33,peak_19,,0
hard,real,0,151,match,8,peak_20,0.07761030491701604,0
hard,real,0,151,match,14,peak_21,0.009878379201509802,0
hard,real,0,151,match,22,peak_22,0.1517342747032444,0
hard,real,0,151,missing,4,,,1
hard,real,0,151,missing,12,,,1
hard,real,0,151,missing,13,,,1
hard,real,0,151,missing,15,,,1
hard,real,0,151,missing,25,,,1
hard,real,0,151,missing,26,,,2
hard,real,0,211,death,26,,,2
hard,real,0,211,match,1,peak_1,0.05998042233667489,0
hard,real,0,211,match,17,peak_2,0.1337172558393207,0
hard,real,0,211,match,23,peak_3,0.22317608997333283,0
hard,real,0,211,match,18,peak_4,0.2893394491715098,0
hard,real,0,211,match,27,peak_5,0.36901186287857346,0
hard,real,0,211,match,10,peak_6,0.378228062174907,0
hard,real,0,211,reconnect,15,peak_7,0.03350700908383786,1
hard,real,0,211,birth,34,peak_8,,0
hard,real,0,211,reconnect,4,peak_9,0.34005974162257857,1
hard,real,0,211,match,29,peak_10,0.48564504224823857,0
hard,real,0,211,match,19,peak_11,0.16511049325888472,0
hard,real,0,211,match,5,peak_12,0.169636432464074,0
hard,real,0,211,match,20,peak_13,0.21152670101748328,0
hard,real,0,211,match,31,peak_14,0.13363946728837917,0
hard,real,0,211,match,32,peak_15,0.019019729577603783,0
hard,real,0,211,match,6,peak_16,0.009110395181213704,0
hard,real,0,211,match,7,peak_17,0.029882062386015207,0
hard,real,0,211,reconnect,25,peak_18,0.14155514717241857,1
hard,real,0,211,match,33,peak_19,0.21766001749262998,0
hard,real,0,211,birth,35,peak_20,,0
hard,real,0,211,match,8,peak_21,0.03312301732279721,0
hard,real,0,211,birth,36,peak_22,,0
hard,real,0,211,match,14,peak_23,0.05441954432158269,0
hard,real,0,211,missing,12,,,2
hard,real,0,211,missing,13,,,2
hard,real,0,211,missing,21,,,1
hard,real,0,211,missing,22,,,1
hard,real,0,211,missing,24,,,1
hard,real,0,211,missing,28,,,1
hard,real,0,211,missing,30,,,1
taper,real,0,5,birth,1,peak_1,,0
taper,real,0,5,birth,2,peak_2,,0
taper,real,0,5,birth,3,peak_3,,0
taper,real,0,5,birth,4,peak_4,,0
taper,real,0,5,birth,5,peak_5,,0
taper,real,0,5,birth,6,peak_6,,0
taper,real,0,7,birth,7,peak_1,,0
taper,real,0,7,match,2,peak_2,0.00397068920113508,0
taper,real,0,7,birth,8,peak_3,,0
taper,real,0,7,match,3,peak_4,0.04850079698834264,0
taper,real,0,7,match,4,peak_5,0.07297452515711811,0
taper,real,0,7,match,5,peak_6,0.3777155605636011,0
taper,real,0,7,match,6,peak_7,0.4727193221128516,0
taper,real,0,7,missing,1,,,1
taper,real,0,11,birth,9,peak_1,,0
taper,real,0,11,birth,10,peak_2,,0
taper,real,0,11,match,2,peak_3,0.11011641935994376,0
taper,real,0,11,match,8,peak_4,0.011970586810067019,0
taper,real,0,11,match,3,peak_5,0.10171841580466001,0
taper,real,0,11,match,4,peak_6,0.007692624101824919,0
taper,real,0,11,match,5,peak_7,0.030697925832122053,0
taper,real,0,11,birth,11,peak_8,,0
taper,real,0,11,birth,12,peak_9,,0
taper,real,0,11,missing,1,,,2
taper,real,0,11,missing,6,,,1
taper,real,0,11,missing,7,,,1
taper,real,0,17,death,1,,,2
taper,real,0,17,match,9,peak_1,0.39114351231908495,0
taper,real,0,17,match,10,peak_2,0.048671976820321206,0
taper,real,0,17,match,2,peak_3,0.022629883821798202,0
taper,real,0,17,birth,13,peak_4,,0
taper,real,0,17,match,8,peak_5,0.11750184830045995,0
taper,real,0,17,match,3,peak_6,0.062255672280501884,0
taper,real,0,17,match,4,peak_7,0.08328950184561279,0
taper,real,0,17,match,5,peak_8,0.027133169489712117,0
taper,real,0,17,birth,14,peak_9,,0
taper,real,0,17,match,11,peak_10,0.08250389051351803,0
taper,real,0,17,match,12,peak_11,0.2566526111515657,0
taper,real,0,17,missing,6,,,2
taper,real,0,17,missing,7,,,2
taper,real,0,29,death,6,,,2
taper,real,0,29,death,7,,,2
taper,real,0,29,match,9,peak_1,0.4169995563439848,0
taper,real,0,29,birth,15,peak_2,,0
taper,real,0,29,match,2,peak_3,0.024161894755589053,0
taper,real,0,29,match,13,peak_4,0.06483995244121665,0
taper,real,0,29,match,8,peak_5,0.1612306935027643,0
taper,real,0,29,match,3,peak_6,0.014257261071982441,0
taper,real,0,29,birth,16,peak_7,,0
taper,real,0,29,birth,17,peak_8,,0
taper,real,0,29,match,4,peak_9,0.20826979800039425,0
taper,real,0,29,match,5,peak_10,0.14977455728537237,0
taper,real,0,29,match,14,peak_11,0.0700250062407548,0
taper,real,0,29,match,11,peak_12,0.007281048680333413,0
taper,real,0,29,match,12,peak_13,0.002921781334599416,0
taper,real,0,29,missing,10,,,1
taper,real,0,47,match,9,peak_1,0.24477764513148959,0
taper,real,0,47,match,15,peak_2,0.32793693508386124,0
taper,real,0,47,reconnect,10,peak_3,0.14996010054818587,1
taper,real,0,47,match,2,peak_4,0.00589640375733147,0
taper,real,0,47,match,13,peak_5,0.0224872187752716,0
taper,real,0,47,match,8,peak_6,0.3278685812501383,0
taper,real,0,47,match,3,peak_7,0.01943534224605692,0
taper,real,0,47,match,16,peak_8,0.01888620945879893,0
taper,real,0,47,birth,18,peak_9,,0
taper,real,0,47,match,17,peak_10,0.015589066650928629,0
taper,real,0,47,match,4,peak_11,0.027144086620864982,0
taper,real,0,47,match,5,peak_12,0.0244729568498947,0
taper,real,0,47,match,14,peak_13,0.09995697502283107,0
taper,real,0,47,match,11,peak_14,0.07576878019943578,0
taper,real,0,47,match,12,peak_15,0.04208501635610418,0
taper,real,0,47,birth,19,peak_16,,0
taper,real,0,71,match,9,peak_1,0.17451077845551888,0
taper,real,0,71,match,15,peak_2,0.2132302951877909,0
taper,real,0,71,match,10,peak_3,0.18564854533708797,0
taper,real,0,71,birth,20,peak_4,,0
taper,real,0,71,match,2,peak_5,0.08329385807734102,0
taper,real,0,71,match,13,peak_6,0.03197839519319068,0
taper,real,0,71,match,8,peak_7,0.15820749795727806,0
taper,real,0,71,birth,21,peak_8,,0
taper,real,0,71,match,3,peak_9,0.02050663799528074,0
taper,real,0,71,match,16,peak_10,0.11436155801023062,0
taper,real,0,71,match,18,peak_11,0.016269239871338215,0
taper,real,0,71,match,17,peak_12,0.07474456537049079,0
