cutoff_mode,dataset,replicate,track_id,first_cutoff,last_cutoff,observations,eligible_cutoffs,persistence,tail_count,tail_tau_mean,tail_tau_median,tail_tau_std,tail_tau_min,tail_tau_max,tail_drift,tail_slope,median_prominence,prominence_std,prominence_cv,stable
hard,real,0,1,5,211,10,3,1.0,3,0.8472261430297552,0.8383782904874155,0.06013650219462015,0.7783978681507406,0.9249022704511096,0.14650440230036899,0.19939796278486752,7.650040769037074,1.2402464087703522,0.16715574668050592,True
hard,real,0,2,5,29,4,3,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
hard,real,0,3,5,5,1,3,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
hard,real,0,4,5,211,8,3,0.6666666666666666,2,10.457888666918896,10.457888666918896,0.17002987081128929,10.287858796107606,10.627918537730185,0.34005974162257857,0.46157510346202485,0.8045189135022189,0.4716936338692347,0.5863052141507344,False
hard,real,0,5,5,211,10,3,1.0,3,14.159387963284168,14.177997793770414,0.07049290341507053,14.065264831809008,14.234901264273082,0.169636432464074,0.14321269970995631,6.8801988943263845,0.18715455815548074,0.027105038377569796,True
hard,real,0,6,5,211,10,3,1.0,3,21.021723743456715,20.989348029779126,0.05236045865846243,20.980237634597913,21.095585565993098,0.11534793139518484,0.1601476924198028,6.373975642020751,0.28289060414150513,0.045668836018618666,True
hard,real,0,7,5,211,10,3,1.0,3,25.000710296500028,24.993256370440047,0.03393952213570424,24.963374308054032,25.045500211006004,0.08212590295197231,0.07534971833410545,4.681945402420855,0.15099658810130606,0.031638441422357756,True
hard,real,0,8,5,211,10,3,1.0,3,30.448830507195137,30.434001411330396,0.04640685097907282,30.4008783940076,30.511611716247412,0.11073332223981325,0.15172304640750883,6.2118198066890455,0.16126005607673763,0.02617535579044733,True
hard,real,0,9,5,5,1,3,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
hard,real,0,10,7,211,7,3,0.6666666666666666,2,6.928984233443883,6.928984233443883,0.1891140310874535,6.739870202356429,7.118098264531336,0.378228062174907,1.1304620351928285,1.3498377012694933,0.012501243890543856,0.00926129406430618,False
hard,real,0,11,7,7,1,3,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
hard,real,0,12,7,101,6,3,0.3333333333333333,1,18.876983397589225,18.876983397589225,0.0,18.876983397589225,18.876983397589225,0.0,nan,0.276715658475684,0.0,0.0,False
hard,real,0,13,7,101,6,3,0.3333333333333333,1,28.27354248995706,28.27354248995706,0.0,28.27354248995706,28.27354248995706,0.0,nan,0.36444190993471537,0.0,0.0,False
