variant,dataset,replicate,predicted_index,predicted_tau,zero_index,gamma,signed_error,absolute_error,relative_error,nearest_zero_index,nearest_zero_gamma,nearest_zero_distance
baseline,real,0,1,12.520062874615501,1,14.134725141734695,-1.6146622671191935,1.6146622671191935,0.11423372233476857,1,14.134725141734695,1.6146622671191935
baseline,real,0,2,14.152912756534828,2,21.022039638771556,-6.869126882236728,6.869126882236728,0.3267583450640916,1,14.134725141734695,0.018187614800133645
baseline,real,0,3,21.015123573711975,3,25.01085758014569,-3.9957340064337146,3.9957340064337146,0.15975997598761424,2,21.022039638771556,0.0069160650595812
baseline,real,0,4,24.997106873730246,4,30.424876125859512,-5.427769252129266,5.427769252129266,0.17839905837828388,3,25.01085758014569,0.013750706415443403
baseline,real,0,5,30.457916718858264,5,32.93506158773919,-2.477144868880927,2.477144868880927,0.07521300248010161,4,30.424876125859512,0.03304059299875206
baseline,real,0,6,32.874617497582086,6,37.586178158825675,-4.711560661243588,4.711560661243588,0.1253535446284064,5,32.93506158773919,0.06044409015710528
baseline,phase_scrambled,0,1,4.2742330133780655,1,14.134725141734695,-9.86049212835663,9.86049212835663,0.6976076315231761,1,14.134725141734695,9.86049212835663
baseline,phase_scrambled,0,2,9.543497468411786,2,21.022039638771556,-11.47854217035977,11.47854217035977,0.5460241902117605,1,14.134725141734695,4.5912276733229085
baseline,phase_scrambled,0,3,16.476764130737656,3,25.01085758014569,-8.534093449408033,8.534093449408033,0.34121554697039386,1,14.134725141734695,2.342038989002962
baseline,phase_scrambled,0,4,18.101855092163493,4,30.424876125859512,-12.323021033696019,12.323021033696019,0.40503109964093204,2,21.022039638771556,2.9201845466080627
baseline,phase_scrambled,0,5,19.5298580027524,5,32.93506158773919,-13.405203584986793,13.405203584986793,0.4070192353906871,2,21.022039638771556,1.4921816360191578
baseline,phase_scrambled,0,6,22.992596849831855,6,37.586178158825675,-14.59358130899382,14.59358130899382,0.388269891323523,2,21.022039638771556,1.9705572110602994
baseline,phase_scrambled,0,7,24.427997208392554,7,40.9187190121475,-16.490721803754944,16.490721803754944,0.4030116827181066,3,25.01085758014569,0.5828603717531351
baseline,phase_scrambled,0,8,28.555397570530857,8,43.327073280915,-14.771675710384145,14.771675710384145,0.340934076359385,4,30.424876125859512,1.869478555328655
baseline,phase_scrambled,0,9,30.278603218135657,9,48.00515088116716,-17.726547663031504,17.726547663031504,0.36926345064328886,4,30.424876125859512,0.14627290772385493
baseline,phase_scrambled,0,10,31.712694671244257,10,49.7738324776723,-18.061137806428043,18.061137806428043,0.36286411769738575,5,32.93506158773919,1.2223669164949342
baseline,phase_scrambled,0,11,33.56177938222925,11,52.970321477714464,-19.408542095485217,19.408542095485217,0.366404083532903,5,32.93506158773919,0.6267177944900553
baseline,phase_scrambled,1,1,5.405528669614482,1,14.134725141734695,-8.729196472120211,8.729196472120211,0.6175710093113925,1,14.134725141734695,8.729196472120211
baseline,phase_scrambled,1,2,10.334919855880333,2,21.022039638771556,-10.687119782891223,10.687119782891223,0.508376920914023,1,14.134725141734695,3.7998052858543616
baseline,phase_scrambled,1,3,13.337403326516638,3,25.01085758014569,-11.673454253629052,11.673454253629052,0.46673546543624966,1,14.134725141734695,0.7973218152180568
baseline,phase_scrambled,1,4,15.435851373278773,4,30.424876125859512,-14.98902475258074,14.98902475258074,0.4926568867717056,1,14.134725141734695,1.3011262315440781
baseline,phase_scrambled,1,5,18.698659957927347,5,32.93506158773919,-14.236401629811844,14.236401629811844,0.4322567180233135,2,21.022039638771556,2.3233796808442087
baseline,phase_scrambled,1,6,20.51244297095806,6,37.586178158825675,-17.073735187867616,17.073735187867616,0.45425568717628456,2,21.022039638771556,0.5095966678134971
baseline,phase_scrambled,1,7,22.139434783155295,7,40.9187190121475,-18.779284228992204,18.779284228992204,0.4589411565747505,2,21.022039638771556,1.1173951443837389
baseline,phase_scrambled,1,8,26.654646918227343,8,43.327073280915,-16.67242636268766,16.67242636268766,0.3848038905049153,3,25.01085758014569,1.6437893380816533
baseline,phase_scrambled,1,9,29.515759913629587,9,48.00515088116716,-18.489390967537574,18.489390967537574,0.3851543142382065,4,30.424876125859512,0.9091162122299252
baseline,shuffled_rates,0,1,9.214571946183401,1,14.134725141734695,-4.920153195551293,4.920153195551293,0.34808976801564206,1,14.134725141734695,4.920153195551293
baseline,shuffled_rates,0,2,12.512504244177947,2,21.022039638771556,-8.509535394593609,8.509535394593609,0.40479114019456164,1,14.134725141734695,1.6222208975567476
baseline,shuffled_rates,0,3,14.18616904673398,3,25.01085758014569,-10.82468853341171,10.82468853341171,0.43279957509352446,1,14.134725141734695,0.051443904999285195
baseline,shuffled_rates,0,4,21.018445232023893,4,30.424876125859512,-9.40643089383562,9.40643089383562,0.3091690777942283,2,21.022039638771556,0.0035944067476627595
baseline,shuffled_rates,0,5,25.01539900558283,5,32.93506158773919,-7.919662582156363,7.919662582156363,0.24046296561669808,3,25.01085758014569,0.004541425437139424
baseline,shuffled_rates,0,6,30.45882349312592,6,37.586178158825675,-7.127354665699755,7.127354665699755,0.1896270122379061,4,30.424876125859512,0.033947367266407014
baseline,shuffled_rates,0,7,32.82981763559363,7,40.9187190121475,-8.08890137655387,8.08890137655387,0.19768217509821182,5,32.93506158773919,0.10524395214556392
baseline,shuffled_rates,0,8,34.68165344461144,8,43.327073280915,-8.64541983630356,8.64541983630356,0.199538514412229,5,32.93506158773919,1.74659185687225
baseline,shuffled_rates,1,1,12.529805730092233,1,14.134725141734695,-1.6049194116424612,1.6049194116424612,0.11354443723165998,1,14.134725141734695,1.6049194116424612
