variant,dataset,replicate,predicted_modes,in_window_zeros,one_to_one_matches,missing_modes,extra_modes,precision,recall,mean_nearest_distance,mean_ordered_absolute_error
baseline,real,0,6,5,5,0,1,0.8333333333333334,1.0,0.2911668894250348,4.182666323007236
baseline,phase_scrambled,0,11,5,1,4,10,0.09090909090909091,0.2,2.511307157287332,14.241232614080447
baseline,phase_scrambled,1,9,5,0,5,9,0.0,0.0,2.3478585386766366,14.592225959790902
baseline,shuffled_rates,0,8,5,5,0,3,0.625,1.0,1.0609671258220437,8.180268309763221
baseline,shuffled_rates,1,6,5,5,0,1,0.8333333333333334,1.0,0.2861493185529544,4.178564173625075
strict,real,0,6,5,5,0,1,0.8333333333333334,1.0,0.2911668894250348,4.182666323007236
strict,phase_scrambled,0,9,5,1,4,8,0.1111111111111111,0.2,1.7135386236445624,8.295600215957096
strict,phase_scrambled,1,8,5,0,5,8,0.0,0.0,1.55019129699619,11.09130142832068
strict,shuffled_rates,0,7,5,5,0,2,0.7142857142857143,1.0,0.5096548301464365,4.475663591910597
strict,shuffled_rates,1,6,5,5,0,1,0.8333333333333334,1.0,0.2861493185529544,4.178564173625075
loose,real,0,7,5,5,0,2,0.7142857142857143,1.0,2.138414313275074,9.300270094975932
loose,phase_scrambled,0,14,5,1,4,13,0.07142857142857142,0.2,2.7307190848910246,20.577188832141694
loose,phase_scrambled,1,10,5,0,5,10,0.0,0.0,2.648564299403559,17.232405712000162
loose,shuffled_rates,0,11,5,5,0,6,0.45454545454545453,1.0,2.305895229219484,15.681247868310562
loose,shuffled_rates,1,8,5,5,0,3,0.625,1.0,2.0759978331008506,10.216750226265217
