variant,dataset,replicate,kind,predicted_index,predicted_tau,zero_index,gamma,distance,reason
baseline,real,0,matched,2,14.152912756534828,1,14.134725141734695,0.018187614800133645,one_to_one_within_tolerance
baseline,real,0,matched,3,21.015123573711975,2,21.022039638771556,0.0069160650595812,one_to_one_within_tolerance
baseline,real,0,matched,4,24.997106873730246,3,25.01085758014569,0.013750706415443403,one_to_one_within_tolerance
baseline,real,0,matched,5,30.457916718858264,4,30.424876125859512,0.03304059299875206,one_to_one_within_tolerance
baseline,real,0,matched,6,32.874617497582086,5,32.93506158773919,0.06044409015710528,one_to_one_within_tolerance
baseline,real,0,extra,1,12.520062874615501,1,14.134725141734695,1.6146622671191935,no_in_window_reference_within_tolerance
baseline,phase_scrambled,0,matched,9,30.278603218135657,4,30.424876125859512,0.14627290772385493,one_to_one_within_tolerance
baseline,phase_scrambled,0,extra,1,4.2742330133780655,1,14.134725141734695,9.86049212835663,no_in_window_reference_within_tolerance
baseline,phase_scrambled,0,extra,2,9.543497468411786,1,14.134725141734695,4.5912276733229085,no_in_window_reference_within_tolerance
baseline,phase_scrambled,0,extra,3,16.476764130737656,1,14.134725141734695,2.342038989002962,no_in_window_reference_within_tolerance
baseline,phase_scrambled,0,extra,4,18.101855092163493,2,21.022039638771556,2.9201845466080627,no_in_window_reference_within_tolerance
baseline,phase_scrambled,0,extra,5,19.5298580027524,2,21.022039638771556,1.4921816360191578,no_in_window_reference_within_tolerance
baseline,phase_scrambled,0,extra,6,22.992596849831855,2,21.022039638771556,1.9705572110602994,no_in_window_reference_within_tolerance
baseline,phase_scrambled,0,extra,7,24.427997208392554,3,25.01085758014569,0.5828603717531351,no_in_window_reference_within_tolerance
baseline,phase_scrambled,0,extra,8,28.555397570530857,4,30.424876125859512,1.869478555328655,no_in_window_reference_within_tolerance
baseline,phase_scrambled,0,extra,10,31.712694671244257,5,32.93506158773919,1.2223669164949342,no_in_window_reference_within_tolerance
baseline,phase_scrambled,0,extra,11,33.56177938222925,5,32.93506158773919,0.6267177944900553,no_in_window_reference_within_tolerance
baseline,phase_scrambled,0,missing,,,1,14.134725141734695,2.342038989002962,no_one_to_one_prediction
baseline,phase_scrambled,0,missing,,,2,21.022039638771556,1.4921816360191578,no_one_to_one_prediction
baseline,phase_scrambled,0,missing,,,3,25.01085758014569,0.5828603717531351,no_one_to_one_prediction
baseline,phase_scrambled,0,missing,,,5,32.93506158773919,0.6267177944900553,no_one_to_one_prediction
baseline,phase_scrambled,1,extra,1,5.405528669614482,1,14.134725141734695,8.729196472120211,no_in_window_reference_within_tolerance
baseline,phase_scrambled,1,extra,2,10.334919855880333,1,14.134725141734695,3.7998052858543616,no_in_window_reference_within_tolerance
baseline,phase_scrambled,1,extra,3,13.337403326516638,1,14.134725141734695,0.7973218152180568,no_in_window_reference_within_tolerance
baseline,phase_scrambled,1,extra,4,15.435851373278773,1,14.134725141734695,1.3011262315440781,no_in_window_reference_within_tolerance
baseline,phase_scrambled,1,extra,5,18.698659957927347,2,21.022039638771556,2.3233796808442087,no_in_window_reference_within_tolerance
baseline,phase_scrambled,1,extra,6,20.51244297095806,2,21.022039638771556,0.5095966678134971,no_in_window_reference_within_tolerance
baseline,phase_scrambled,1,extra,7,22.139434783155295,2,21.022039638771556,1.1173951443837389,no_in_window_reference_within_tolerance
