frame_prime,discarded_primes,W0,log_W0,B,log_B,D0,log_D0,chi,tau_quad,t_quad,chi_pnt_ratio,scaled_width
2,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,inf,inf,0.0,inf
3,1,0.085786437626905,-2.455894354599031,1.5,0.4054651081081644,0.05719095841793665,-2.8613594627071954,3.9602015607712526,0.5025061192164566,0.3350040794776377,1.0405961505893853,0.6931766018019782
5,2,0.015324271122448047,-4.178317359632012,2.0,0.6931471805599453,0.007662135561224023,-4.871464540191957,7.861121924259978,0.35666273366762535,0.14266509346705014,1.0921827344973152,0.676608343241494
7,3,0.004682680572765323,-5.363884561065428,2.4,0.8754687373539,0.0019511169053188838,-6.239353298419329,11.652077946399316,0.29295324259042177,0.08370092645440622,1.1316225218855336,0.6647130589476762
11,4,0.0018118611503916435,-6.313400702116592,2.742857142857143,1.0090001299784226,0.000660574377746953,-7.322400832095015,15.350923238329905,0.2552306050335318,0.04640556455155123,0.9651125215108752,0.7197737882236351
13,5,0.0008839824171416511,-7.031073385635696,2.992207792207792,1.0960115069680523,0.0002954281515620972,-8.127084892603747,18.904333619061727,0.22999548656129667,0.03538392100943026,1.0220706246593003,0.6994304715594528
17,6,0.0004616358443659595,-7.680734193345925,3.222377622377622,1.1701194791217742,0.00014325938746599862,-8.8508536724677,22.398390874883624,0.2112961531476053,0.0248583709585418,0.9587007879312403,0.72217667936224
19,7,0.0002648646179295989,-8.236291738256886,3.4119292472233647,1.2272778929617227,7.762898897893212e-05,-9.46356963121861,25.79159254936367,0.19690689339605993,0.02072704141011157,1.0047749629503036,0.7054245987232814
23,8,0.00015727663958119546,-8.757504267630424,3.5915044707614365,1.2785711873492733,4.379129717409238e-05,-10.036075454979697,29.141154709520308,0.1852450542021956,0.016108265582799618,0.9689622083071792,0.7183425346071689
29,9,9.852586165131793e-05,-9.225191489412005,3.747656839055412,1.3211308017680692,2.628999022123679e-05,-10.546322291180074,32.41352220083928,0.1756454430773323,0.012113478832919468,0.8937498025854186,0.7479576746125053
31,10,6.533171875948195e-05,-9.636032900572307,3.8768863852297364,1.3550323534437505,1.6851594879949142e-05,-10.991065254016057,35.58885832301468,0.16762661376231483,0.01081462024272999,0.9306889145574861,0.7329641470460393
37,11,4.3971347398724726e-05,-10.031972331649413,4.001947236366179,1.3867810517583308,1.098748804060978e-05,-11.418753383407743,38.7356704006052,0.16067357675961194,0.008685058203222268,0.88178478997745,0.7530151267346169
41,12,3.070207222768007e-05,-10.39118040637613,4.110107972484184,1.413449298840492,7.46989432716131e-06,-11.804629705216621,41.805656818077715,0.15466159135535534,0.007544467870992944,0.8790655703226339,0.7541788809368762
43,13,2.1861187022478517e-05,-10.730797775570348,4.210354508398432,1.4375468504195525,5.1922437834799426e-06,-12.168344625989901,44.83038068930941,0.14935294361789317,0.006946648540367124,0.9088281336136026,0.7417270556818495
47,14,1.5701987187272372e-05,-11.061723281181896,4.3082697295239765,1.4605363686442512,3.644615628327269e-06,-12.522259649826147,47.83395080628796,0.14458787458554304,0.006152675514278427,0.9061079664284695,0.7428395663859996
53,15,1.1455331565901049e-05,-11.377055297396874,4.399935042918104,1.4815897778420835,2.603522882534124e-06,-12.858645075238957,50.79777735591577,0.14030645275278278,0.00529458312274652,0.8787277480947036,0.7543238370441709
59,16,8.524448289110377e-06,-11.672572253708815,4.482952685237313,1.500281910854236,1.90152537571543e-06,-13.17285416456305,53.70747811292153,0.1364528528317454,0.00462552043497442,0.8573947122788651,0.7636504319841513
61,17,6.449353184558828e-06,-11.951530713648863,4.55893493413964,1.5170890291706172,1.4146622572440708e-06,-13.46861974281948,56.56849242073373,0.13295745627027442,0.004359260861320473,0.8809383979378,0.7533767825529678
67,18,4.903570167272639e-06,-12.225547012586023,4.633671572404224,1.5333495500423975,1.0582472431744615e-06,-13.75889656262842,59.41431061563457,0.1297341972220111,0.003872662603642122,0.8631562365879181,0.7610975006361718
71,19,3.7786248963138353e-06,-12.486150398562204,4.702830849604287,1.548164635827538,8.03478801843741e-07,-14.034315034389742,62.21722425073411,0.12677823001314506,0.0035712177468491565,0.8661014044497691,0.7598023470123397
73,20,2.9349644212480196e-06,-12.73881522699005,4.769067903824066,1.562150877802278,6.154167817351951e-07,-14.300966104792328,64.99352943453717,0.12404090870301872,0.0033983810603566774,0.8864921519113149,0.7510131727588027
79,21,2.288146207634518e-06,-12.987768584550201,4.834397601136724,1.5757565298580565,4.7330534151690396e-07,-14.563525114408257,67.75706616386144,0.12148501271239673,0.003075569942085993,0.8723373972773594,0.7570817138374089
83,22,1.8022369609286532e-06,-13.226481908572815,4.8955925074802265,1.5883353120649166,3.681345941629992e-07,-14.814817220637732,70.48423141709276,0.11911158829601474,0.002870158754120837,0.875416222163426,0.7557492190606029
89,23,1.428308246568291e-06,-13.45901985839969,4.954575549739025,1.6003115031116324,2.8828064729854116e-07,-15.059331361511322,73.18861054245122,0.1168902395982094,0.0026267469572631326,0.8641797377344582,0.7606466598464077
97,24,1.1415559111615055e-06,-13.683118391745484,5.01024493793834,1.6114848037097576,2.2784433202406336e-07,-15.294603195455242,75.860746808219,0.11481309996821554,0.002367280411715784,0.8418555698692064,0.7706660142324888
101,25,9.215096454656554e-07,-13.897252592755496,5.061896947607806,1.6217413038769466,1.8204828249242608e-07,-15.518993896632443,78.49306725678491,0.11287151384183912,0.0022350794820166163,0.8461698975047739,0.7686988237972242
103,26,7.472462296664439e-07,-14.106871081407078,5.112014739168281,1.6315936003199583,1.4617450609855255e-07,-15.738464681727036,81.10668192557984,0.1110380132639444,0.002156077927455231,0.862151687390884,0.7615407737366627
107,27,6.072443298125502e-07,-14.314334606592203,5.161645950228166,1.641255511231695,1.1764548279133865e-07,-15.955590117823897,83.71121777950681,0.1092969820191461,0.002042934243348525,0.8659282378702446,0.7598783150836855
109,28,4.955104601858293e-07,-14.517677373034246,5.209885632005999,1.6505579038940086,9.510966174415613e-08,-16.168235276928254,86.29811097706323,0.10764636157328271,0.001975162597674912,0.8809685524694775,0.7533638888359365
113,29,4.051338390368664e-07,-14.71904835767429,5.257682747895962,1.659690387457281,7.705558864292335e-08,-16.37873874513157,88.87642811946309,0.1060734523207402,0.0018774062357653132,0.8842929102244359,0.7519464799306249
127,30,3.3249552287551396e-07,-14.916639441977205,5.304210913806545,1.6685010171394359,6.26852001699344e-08,-16.58514045911664,91.43805551641331,0.10457707945158945,0.0016468831409699126,0.8374795638844588,0.7726768365157697
131,31,2.7610518454372517e-07,-15.10248394041143,5.345976354072739,1.6763441946004618,5.164728877511385e-08,-16.778828135011892,93.94561471631971,0.10317197488623531,0.001575144654751684,0.8418188971812492,0.7706828005546759
137,32,2.2996601374798155e-07,-15.285334305254857,5.386785333874822,1.6839487939856812,4.2690770003742166e-08,-16.96928309924054,96.43882927081553,0.10182959939211489,0.0014865634947754,0.837333045909037,0.7727444357191343
139,33,1.9234995281790045e-07,-15.46394945304109,5.4261049348520105,1.691221553314761,3.5448992440679134e-08,-17.15517100635585,98.9113396741839,0.10054881530130909,0.001446745543903728,0.8500957191016141,0.766921808259165
149,34,1.6110394530717972e-07,-15.641216057260872,5.465141661002025,1.6983900427933736,2.9478457339318405e-08,-17.339606100054244,101.37715317517335,0.09931845482962559,0.001333133621874169,0.8298590234049109,0.7762164491997621
