frame_prime,passed_prime,k,real,imag
3,2,-5,-0.0,-30.21573427884796
3,2,-4,-0.0,-24.17258742307837
3,2,-3,-0.0,-18.129440567308777
3,2,-2,-0.0,-12.086293711539184
3,2,-1,-0.0,-6.043146855769592
3,2,0,0.0,0.0
3,2,1,0.0,6.043146855769592
3,2,2,0.0,12.086293711539184
3,2,3,0.0,18.129440567308777
3,2,4,0.0,24.17258742307837
3,2,5,0.0,30.21573427884796
5,2,-5,-0.0,-18.129440567308773
5,2,-4,-0.0,-14.503552453847018
5,2,-3,-0.0,-10.877664340385264
5,2,-2,-0.0,-7.251776226923509
5,2,-1,-0.0,-3.6258881134617544
5,2,0,0.0,0.0
5,2,1,0.0,3.6258881134617544
5,2,2,0.0,7.251776226923509
5,2,3,0.0,10.877664340385264
5,2,4,0.0,14.503552453847018
5,2,5,0.0,18.129440567308773
5,3,-5,-0.0,-11.438403469520509
5,3,-4,-0.0,-9.150722775616407
5,3,-3,-0.0,-6.863042081712305
5,3,-2,-0.0,-4.575361387808203
5,3,-1,-0.0,-2.2876806939041017
5,3,0,0.0,0.0
5,3,1,0.0,2.2876806939041017
5,3,2,0.0,4.575361387808203
5,3,3,0.0,6.863042081712305
5,3,4,0.0,9.150722775616407
5,3,5,0.0,11.438403469520509
7,2,-5,-0.0,-12.949600405220554
7,2,-4,-0.0,-10.359680324176443
7,2,-3,-0.0,-7.769760243132333
7,2,-2,-0.0,-5.1798401620882215
7,2,-1,-0.0,-2.5899200810441108
7,2,0,0.0,0.0
7,2,1,0.0,2.5899200810441108
7,2,2,0.0,5.1798401620882215
7,2,3,0.0,7.769760243132333
7,2,4,0.0,10.359680324176443
7,2,5,0.0,12.949600405220554
7,3,-5,-0.0,-8.170288192514649
7,3,-4,-0.0,-6.53623055401172
7,3,-3,-0.0,-4.90217291550879
7,3,-2,-0.0,-3.26811527700586
7,3,-1,-0.0,-1.63405763850293
7,3,0,0.0,0.0
7,3,1,0.0,1.63405763850293
7,3,2,0.0,3.26811527700586
7,3,3,0.0,4.90217291550879
7,3,4,0.0,6.53623055401172
7,3,5,0.0,8.170288192514649
7,5,-5,-0.0,-5.577089330946204
7,5,-4,-0.0,-4.461671464756963
7,5,-3,-0.0,-3.3462535985677224
7,5,-2,-0.0,-2.2308357323784813
7,5,-1,-0.0,-1.1154178661892407
7,5,0,0.0,0.0
7,5,1,0.0,1.1154178661892407
7,5,2,0.0,2.2308357323784813
7,5,3,0.0,3.3462535985677224
7,5,4,0.0,4.461671464756963
7,5,5,0.0,5.577089330946204
11,2,-5,-0.0,-8.24065480332217
11,2,-4,-0.0,-6.592523842657736
11,2,-3,-0.0,-4.944392881993302
11,2,-2,-0.0,-3.296261921328868
11,2,-1,-0.0,-1.648130960664434
11,2,0,0.0,0.0
11,2,1,0.0,1.648130960664434
11,2,2,0.0,3.296261921328868
11,2,3,0.0,4.944392881993302
11,2,4,0.0,6.592523842657736
11,2,5,0.0,8.24065480332217
11,3,-5,-0.0,-5.199274304327504
11,3,-4,-0.0,-4.159419443462003
11,3,-3,-0.0,-3.119564582596502
11,3,-2,-0.0,-2.0797097217310014
11,3,-1,-0.0,-1.0398548608655007
11,3,0,0.0,0.0
11,3,1,0.0,1.0398548608655007
11,3,2,0.0,2.0797097217310014
11,3,3,0.0,3.119564582596502
11,3,4,0.0,4.159419443462003
11,3,5,0.0,5.199274304327504
11,5,-5,-0.0,-3.549056846965766
11,5,-4,-0.0,-2.839245477572613
11,5,-3,-0.0,-2.1294341081794594
11,5,-2,-0.0,-1.4196227387863065
11,5,-1,-0.0,-0.7098113693931533
11,5,0,0.0,0.0
11,5,1,0.0,0.7098113693931533
11,5,2,0.0,1.4196227387863065
11,5,3,0.0,2.1294341081794594
11,5,4,0.0,2.839245477572613
11,5,5,0.0,3.549056846965766
11,7,-5,-0.0,-2.935380467419602
11,7,-4,-0.0,-2.3483043739356813
11,7,-3,-0.0,-1.7612282804517612
11,7,-2,-0.0,-1.1741521869678406
11,7,-1,-0.0,-0.5870760934839203
11,7,0,0.0,0.0
11,7,1,0.0,0.5870760934839203
11,7,2,0.0,1.1741521869678406
11,7,3,0.0,1.7612282804517612
11,7,4,0.0,2.3483043739356813
11,7,5,0.0,2.935380467419602
