dataset,replicate,prime_cutoff,kind,cohort,zero_indices,eligible_zeros,matched_zeros,feature_count,mean_distance,median_distance
phase_scrambled,0,5,peak,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,17,1.488932731990603,1.4770449001853265
phase_scrambled,0,5,peak,common_bracketed,1;2;3;4;5;6;7;8;9;10;11,11,11,17,1.6687186165942267,1.5694396039417242
phase_scrambled,1,5,peak,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,17,0.7505038940929375,0.47448186417300064
phase_scrambled,1,5,peak,common_bracketed,1;2;3;4;5;6;7;8;9;10;11,11,11,17,0.7639479944660291,0.47448186417300064
raised_cosine,0,5,peak,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,11,0.9593014212330726,1.0564056045306813
raised_cosine,0,5,peak,common_bracketed,1;2;3;4;5;6;7;8;9;10;11,11,11,11,0.8460185532646194,1.0564056045306813
real,0,5,peak,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,15,0.5964009527889341,0.29032923881527317
real,0,5,peak,common_bracketed,1;2;3;4;5;6;7;8;9;10;11,11,11,15,0.392018482299285,0.29032923881527317
shuffled_rates,0,5,peak,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,20,0.4721116954848288,0.39885099318324535
shuffled_rates,0,5,peak,common_bracketed,1;2;3;4;5;6;7;8;9;10;11,11,11,20,0.3958325605667275,0.2894674524353942
shuffled_rates,1,5,peak,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,17,0.5931327219118233,0.33422016588130177
shuffled_rates,1,5,peak,common_bracketed,1;2;3;4;5;6;7;8;9;10;11,11,11,17,0.40814406024515715,0.33422016588130177
phase_scrambled,0,5,min,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,17,0.6907468998554275,0.7495023592824026
phase_scrambled,0,5,min,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,17,0.6341728123472851,0.6678973757597095
phase_scrambled,1,5,min,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,17,1.2199031830766993,0.8775742858041795
phase_scrambled,1,5,min,common_bracketed,1;2;3;4;5;6;7;8;9;10;11;12,12,12,17,1.1508309011363822,0.8683419938081531
raised_cosine,0,5,min,all_in_window,1;2;3;4;5;6;7;8;9;10;11;12;13,13,13,11,2.107075289970391,2.118423163925428
