dataset,replicate,prime_cutoff,kind,tau,phase_slope
real,0,5,stationary_phase,0.8619891542757702,0.0
real,0,5,stationary_phase,3.559546419509104,0.0
real,0,5,stationary_phase,4.288113708222461,0.0
real,0,5,stationary_phase,5.321561319155769,0.0
real,0,5,stationary_phase,6.105918654228839,0.0
real,0,5,stationary_phase,7.392183284870589,0.0
real,0,5,stationary_phase,9.484426432284874,0.0
real,0,5,stationary_phase,10.85959715664959,0.0
real,0,5,stationary_phase,12.254651170301605,0.0
real,0,5,stationary_phase,15.25559610544275,0.0
real,0,5,stationary_phase,16.09785989686563,0.0
real,0,5,stationary_phase,16.60913501597775,0.0
real,0,5,stationary_phase,19.897097394234198,0.0
real,0,5,stationary_phase,22.41300851171342,0.0
real,0,5,stationary_phase,23.888206607300997,0.0
real,0,5,stationary_phase,26.569016105889865,0.0
real,0,5,stationary_phase,29.01750899460429,0.0
real,0,5,stationary_phase,30.89129799291646,0.0
real,0,5,stationary_phase,31.56488195416441,0.0
real,0,5,stationary_phase,33.87976672869051,0.0
real,0,5,stationary_phase,36.67384774589863,0.0
real,0,5,stationary_phase,38.63204826484401,0.0
real,0,5,stationary_phase,40.43285838502386,0.0
real,0,5,stationary_phase,42.59749922205009,0.0
real,0,5,stationary_phase,43.31084629903415,0.0
real,0,5,stationary_phase,44.77338886659471,0.0
real,0,5,stationary_phase,47.26058527165026,0.0
real,0,5,stationary_phase,50.32482682991186,0.0
real,0,5,stationary_phase,51.92017174834258,0.0
real,0,5,stationary_phase,53.821994965835096,0.0
real,0,5,stationary_phase,55.230200501884966,0.0
real,0,5,stationary_phase,56.79676188750341,0.0
real,0,5,stationary_phase,57.72719587755969,0.0
real,0,5,stationary_phase,58.03478238766442,0.0
real,0,5,stationary_phase,58.91922927526924,0.0
real,0,5,rotation_max_grid,2.3000000000000003,-1.0978830870962797
real,0,5,rotation_max_grid,3.92,0.6709455929031399
real,0,5,rotation_max_grid,4.8,-0.5381238335078379
real,0,5,rotation_max_grid,5.72,0.7303708106966833
real,0,5,rotation_max_grid,6.74,-0.6656932900452379
real,0,5,rotation_max_grid,7.82,0.8772359334412292
real,0,5,rotation_max_grid,9.040000000000001,0.8839323953919924
real,0,5,rotation_max_grid,10.16,-0.6783773191465847
real,0,5,rotation_max_grid,11.58,2.277341993179247
real,0,5,rotation_max_grid,13.780000000000001,-1.1724232511095407
real,0,5,rotation_max_grid,15.64,0.7559102465217312
real,0,5,rotation_max_grid,16.36,-0.17831572484131092
real,0,5,rotation_max_grid,17.2,1.135919764935738
real,0,5,rotation_max_grid,18.1,1.1650494174706918
real,0,5,rotation_max_grid,19.5,0.8176378720444932
real,0,5,rotation_max_grid,21.14,-1.0814711440752423
real,0,5,rotation_max_grid,23.16,1.5974147357246937
real,0,5,rotation_max_grid,25.2,-1.0879087322312846
real,0,5,rotation_max_grid,27.28,2.6587709600787486
real,0,5,rotation_max_grid,28.560000000000002,1.0094362023539665
real,0,5,rotation_max_grid,29.98,-0.9202995010248887
real,0,5,rotation_max_grid,31.240000000000002,0.6158850898066708
real,0,5,rotation_max_grid,32.7,-1.0498682588618626
real,0,5,rotation_max_grid,34.4,1.1965458202459676
real,0,5,rotation_max_grid,35.1,1.359938525190154
real,0,5,rotation_max_grid,36.22,0.9742470618527856
real,0,5,rotation_max_grid,37.660000000000004,-0.9266427869041226
real,0,5,rotation_max_grid,39.08,0.9621388842068171
real,0,5,rotation_max_grid,40.0,0.9507533599097557
real,0,5,rotation_max_grid,41.52,-1.0168360196721997
real,0,5,rotation_max_grid,42.94,0.6606533391601944
real,0,5,rotation_max_grid,44.02,-0.7303161839566963
real,0,5,rotation_max_grid,45.58,2.1391679163833883
real,0,5,rotation_max_grid,46.800000000000004,1.040354737189841
real,0,5,rotation_max_grid,48.800000000000004,-1.1766877999083039
real,0,5,rotation_max_grid,50.86,1.2339206325153194
real,0,5,rotation_max_grid,51.38,1.2491936725039898
real,0,5,rotation_max_grid,52.86,-0.8882605604039298
real,0,5,rotation_max_grid,54.52,2.308556851189465
real,0,5,rotation_max_grid,56.02,-0.7717516011713667
real,0,5,rotation_max_grid,57.2,0.8094372892535541
real,0,5,rotation_max_grid,57.88,-0.07442630518266931
real,0,5,rotation_max_grid,58.54,0.7614522367072575
real,0,29,stationary_phase,0.572714446439085,0.0
real,0,29,stationary_phase,1.8501382802645157,0.0
real,0,29,stationary_phase,2.627851850207729,0.0
real,0,29,stationary_phase,3.7000235248930213,0.0
real,0,29,stationary_phase,4.468573203574132,0.0
real,0,29,stationary_phase,5.503242075686854,0.0
real,0,29,stationary_phase,6.647015682875668,0.0
real,0,29,stationary_phase,7.343685476336652,0.0
real,0,29,stationary_phase,8.165568102495468,0.0
real,0,29,stationary_phase,8.850037234796641,0.0
real,0,29,stationary_phase,10.108932972645194,0.0
real,0,29,stationary_phase,10.637636582319637,0.0
real,0,29,stationary_phase,12.018313402480327,0.0
real,0,29,stationary_phase,12.548951883470856,0.0
real,0,29,stationary_phase,13.342284138887512,0.0
real,0,29,stationary_phase,14.900202413784166,0.0
real,0,29,stationary_phase,16.227448999879034,0.0
real,0,29,stationary_phase,16.733312567266726,0.0
real,0,29,stationary_phase,18.55740728316241,0.0
real,0,29,stationary_phase,19.029913411345056,0.0
real,0,29,stationary_phase,20.100522695651694,0.0
real,0,29,stationary_phase,21.87683836424739,0.0
real,0,29,stationary_phase,24.466374336161675,0.0
real,0,29,stationary_phase,25.699855041136683,0.0
real,0,29,stationary_phase,29.493001595663568,0.0
real,0,29,stationary_phase,29.63026797644897,0.0
real,0,29,stationary_phase,29.904200172910066,0.0
real,0,29,stationary_phase,31.171842065040682,0.0
real,0,29,stationary_phase,32.29155551881795,0.0
real,0,29,stationary_phase,33.66862562039292,0.0
