dataset,replicate,prime_cutoff,zero_index,gamma,in_window,phase_at_gamma,phase_slope_at_gamma,abs_rotation_window_percentile,nearest_stationary_phase_offset,nearest_rotation_max_grid_offset
real,0,5,1,14.134725141734695,True,-0.316387097799844,-1.14274587269999,0.8710429856714429,1.1208709637080556,-0.3547251417346935
real,0,5,2,21.022039638771556,True,0.28905001716413237,-1.0760250422160742,0.817727424191936,-1.1249422445373582,0.11796036122844455
real,0,5,3,25.01085758014569,True,-0.16951338120040865,-1.0762934063818541,0.817727424191936,-1.122650972844692,0.1891424198543099
real,0,5,4,30.424876125859512,True,0.3103766392569937,-0.7558982160469565,0.5228257247584138,0.46642186705694755,-0.444876125859512
real,0,5,5,32.93506158773919,True,-0.7567489886393625,-1.0233939522645374,0.7650783072309231,0.9447051409513207,-0.23506158773918884
real,0,5,6,37.586178158825675,True,0.3724258476048393,-0.9234241825268326,0.676441186271243,-0.912330412927048,0.073821841174329
real,0,5,7,40.9187190121475,True,0.6150207841994904,-0.7958036025126118,0.5574808397200933,-0.4858606271236354,0.6012809878525047
real,0,5,8,43.327073280915,True,-0.46080241349059237,-0.037335927780667744,0.021992669110296566,-0.016226981880855362,-0.38707328091500415
real,0,5,9,48.00515088116716,True,1.1178932487810784,-1.0043436586649706,0.7444185271576141,-0.7445656095169042,0.7948491188328433
real,0,5,10,49.7738324776723,True,-0.8381070009545761,-0.886392256423861,0.6387870709763412,0.5509943522395631,-0.9738324776722962
real,0,5,11,52.970321477714464,True,-0.3963343170795831,-0.8806352646915866,0.6304565144951683,0.8516734881206318,-0.11032147771446432
real,0,5,12,56.44624769706339,True,0.13347742960741515,-0.5831706461557845,0.3558813728757081,0.3505141904400162,-0.4262476970633884
real,0,5,13,59.34704400260235,True,0.6137138604764437,-0.7802023849509265,0.5464845051649451,-0.4278147273331143,-0.8070440026023533
real,0,5,14,60.83177852460981,False,-0.9934865977100474,-1.1059305764080836,,,
real,0,5,15,65.1125440480816,False,0.6720517106088431,-0.9408687624772222,,,
real,0,5,16,67.07981052949417,False,0.2328393951848392,-0.6147973144365271,,,
real,0,5,17,69.54640171117398,False,-0.286478218173429,-0.34990461411589757,,,
real,0,5,18,72.0671576744819,False,-0.7382275565950095,-0.1035441254042862,,,
real,0,5,19,75.70469069908393,False,1.129239960546446,-0.9913256031368833,,,
real,0,5,20,77.1448400688748,False,-0.4324187837918985,-0.9290952966773509,,,
real,0,29,1,14.134725141734695,True,-0.21860625452251323,-2.9086467671291834,0.947350883038987,0.7654772720494716,-0.034725141734694986
real,0,29,2,21.022039638771556,True,0.22738926062254028,-2.0679412058674953,0.8263912029323559,0.8547987254758347,0.11796036122844455
real,0,29,3,25.01085758014569,True,-0.18814724042286218,-3.4053915527198138,0.9820059980006665,-0.5444832439840148,0.06914241985431246
real,0,29,4,30.424876125859512,True,0.7595581768053613,-2.8579826498655194,0.9363545484838387,-0.5206759529494462,0.13512387414048987
