dataset,replicate,prime_cutoff,kind,coarse_count,fine_count,max_position_change,tolerance,passed
real,0,5,peak,15,15,3.346656285430072e-12,1e-05,True
real,0,5,min,15,15,1.6200374375330284e-12,1e-05,True
real,0,29,peak,27,27,2.3074875343809254e-12,1e-05,True
real,0,29,min,26,26,2.4300561562995426e-12,1e-05,True
real,0,101,peak,33,33,2.4700241851860483e-12,1e-05,True
real,0,101,min,32,32,2.2737367544323206e-12,1e-05,True
phase_scrambled,0,5,peak,17,17,2.133404564119701e-12,1e-05,True
phase_scrambled,0,5,min,17,17,2.0961010704922955e-12,1e-05,True
phase_scrambled,0,29,peak,26,26,2.390976305832737e-12,1e-05,True
phase_scrambled,0,29,min,26,26,2.0872192862952943e-12,1e-05,True
phase_scrambled,0,101,peak,35,35,2.3496760093166813e-12,1e-05,True
phase_scrambled,0,101,min,34,34,2.4513724383723456e-12,1e-05,True
shuffled_rates,0,5,peak,20,20,1.0018652574217413e-12,1e-05,True
shuffled_rates,0,5,min,20,20,2.4584778657299466e-12,1e-05,True
shuffled_rates,0,29,peak,43,43,2.3376856006507296e-12,1e-05,True
shuffled_rates,0,29,min,43,43,2.4797941478027496e-12,1e-05,True
shuffled_rates,0,101,peak,52,52,2.4442670110147446e-12,1e-05,True
shuffled_rates,0,101,min,52,52,2.4940050025179517e-12,1e-05,True
raised_cosine,0,5,peak,11,11,2.4060753389676393e-12,1e-05,True
raised_cosine,0,5,min,11,11,2.2719603975929203e-12,1e-05,True
raised_cosine,0,29,peak,21,21,2.488675931999751e-12,1e-05,True
raised_cosine,0,29,min,20,20,2.4797941478027496e-12,1e-05,True
raised_cosine,0,101,peak,29,29,2.3874235921539366e-12,1e-05,True
raised_cosine,0,101,min,28,28,2.2453150450019166e-12,1e-05,True
