zero_index,beta,gamma,in_window
1,0.5,14.134725141734695,True
2,0.5,21.022039638771556,True
3,0.5,25.01085758014569,True
4,0.5,30.424876125859512,True
5,0.5,32.93506158773919,True
6,0.5,37.586178158825675,True
7,0.5,40.9187190121475,True
8,0.5,43.327073280915,True
9,0.5,48.00515088116716,True
10,0.5,49.7738324776723,True
11,0.5,52.970321477714464,True
12,0.5,56.44624769706339,True
13,0.5,59.34704400260235,True
14,0.5,60.83177852460981,False
15,0.5,65.1125440480816,False
16,0.5,67.07981052949417,False
17,0.5,69.54640171117398,False
18,0.5,72.0671576744819,False
19,0.5,75.70469069908393,False
20,0.5,77.1448400688748,False
