zero_index,p_ext,expected_positive_E,expected_negative_E,computed_eigenvalues,max_error
1,-30.0,33.16308874083334,-33.16308874083334,"[-33.16308874083334, -33.16308874083334, 33.16308874083334, 33.16308874083334]",0.0
1,-15.0,20.61044528467027,-20.61044528467027,"[-20.610445284670266, -20.610445284670266, 20.610445284670266, 20.610445284670266]",3.552713678800501e-15
1,0.0,14.134725141734695,-14.134725141734695,"[-14.134725141734695, -14.134725141734695, 14.134725141734695, 14.134725141734695]",0.0
1,15.0,20.61044528467027,-20.61044528467027,"[-20.610445284670266, -20.610445284670266, 20.610445284670266, 20.610445284670266]",3.552713678800501e-15
1,30.0,33.16308874083334,-33.16308874083334,"[-33.16308874083334, -33.16308874083334, 33.16308874083334, 33.16308874083334]",0.0
3,-30.0,39.05820012358904,-39.05820012358904,"[-39.05820012358904, -39.05820012358904, 39.05820012358904, 39.05820012358904]",0.0
3,-15.0,29.16407030738904,-29.16407030738904,"[-29.16407030738904, -29.16407030738904, 29.16407030738904, 29.16407030738904]",0.0
3,0.0,25.01085758014569,-25.01085758014569,"[-25.01085758014569, -25.01085758014569, 25.01085758014569, 25.01085758014569]",0.0
3,15.0,29.16407030738904,-29.16407030738904,"[-29.16407030738904, -29.16407030738904, 29.16407030738904, 29.16407030738904]",0.0
3,30.0,39.05820012358904,-39.05820012358904,"[-39.05820012358904, -39.05820012358904, 39.05820012358904, 39.05820012358904]",0.0
5,-30.0,44.55017712409428,-44.55017712409428,"[-44.55017712409429, -44.55017712409429, 44.55017712409429, 44.55017712409429]",7.105427357601002e-15
5,-15.0,36.19003014351015,-36.19003014351015,"[-36.19003014351015, -36.19003014351015, 36.19003014351015, 36.19003014351015]",0.0
5,0.0,32.93506158773919,-32.93506158773919,"[-32.93506158773919, -32.93506158773919, 32.93506158773919, 32.93506158773919]",0.0
5,15.0,36.19003014351015,-36.19003014351015,"[-36.19003014351015, -36.19003014351015, 36.19003014351015, 36.19003014351015]",0.0
5,30.0,44.55017712409428,-44.55017712409428,"[-44.55017712409429, -44.55017712409429, 44.55017712409429, 44.55017712409429]",7.105427357601002e-15
