zero_index,gamma_n,prime_cutoff,tau_peak,gamma_error,P_true,P_peak,momentum_error,in_window,peak_bracketed,peak_track_id,peak_track_switched
1,14.134725141734695,5,13.844395902919421,-0.29032923881527317,14.134725141734695,13.844395902919421,-0.29032923881527317,True,True,9,False
1,14.134725141734695,29,14.07720997506649,-0.057515166668205,14.134725141734695,14.07720997506649,-0.057515166668205,True,True,9,False
1,14.134725141734695,101,14.177997793770418,0.04327265203572317,14.134725141734695,14.177997793770418,0.04327265203572317,True,True,9,False
2,21.022039638771556,5,21.168088164328985,0.1460485255574291,21.022039638771556,21.168088164328985,0.1460485255574291,True,True,11,False
2,21.022039638771556,29,21.0563151757879,0.034275537016345226,21.022039638771556,21.0563151757879,0.034275537016345226,True,True,11,False
2,21.022039638771556,101,21.095585565993893,0.07354592722233733,21.022039638771556,21.095585565993893,0.07354592722233733,True,True,11,False
3,25.01085758014569,5,25.075441196630898,0.0645836164852085,25.01085758014569,25.075441196630898,0.0645836164852085,True,True,13,False
3,25.01085758014569,29,25.055447294153954,0.04458971400826428,25.01085758014569,25.055447294153954,0.04458971400826428,True,True,13,False
3,25.01085758014569,101,25.045500211003585,0.03464263085789554,25.01085758014569,25.045500211003585,0.03464263085789554,True,True,13,False
4,30.424876125859512,5,30.228168185150157,-0.1967079407093557,30.424876125859512,30.228168185150157,-0.1967079407093557,True,True,15,False
4,30.424876125859512,29,30.567553112378963,0.14267698651945082,30.424876125859512,30.567553112378963,0.14267698651945082,True,True,15,False
4,30.424876125859512,101,30.511611716246684,0.08673559038717116,30.424876125859512,30.511611716246684,0.08673559038717116,True,True,15,False
5,32.93506158773919,5,32.48902827139491,-0.446033316344284,32.93506158773919,32.48902827139491,-0.446033316344284,True,True,17,False
5,32.93506158773919,29,32.86679182516914,-0.06826976257005413,32.93506158773919,32.86679182516914,-0.06826976257005413,True,True,17,False
5,32.93506158773919,101,32.90468432846474,-0.03037725927445223,32.93506158773919,32.90468432846474,-0.03037725927445223,True,True,17,False
